krs,name,nip,regon,legal_form,register,registration_date,last_entry_date,as_of,status_from_discovery,voivodeship,county,municipality,city,street,building_no,unit_no,postal_code,post_office,pkd_main,pkd_other,pkd_matches,pkd_match_types,pkd_descriptions,share_capital,share_capital_currency
493551,MESSA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,5562755367.0,34153133100000.0,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,RejP,10.01.2014,16.01.2026,17.01.2026,ACTIVE,KUJAWSKO-POMORSKIE,,,INOWROCŁAW,KRUSZAŃSKA,7C,,88-100,INOWROCŁAW,,70.22.Z; 35.11.Z; 35.12.Z; 35.13.Z; 35.14.Z; 35.21.Z; 35.22.Z; 35.23.Z; 35.30.Z; 36.00.Z; 37.00.Z; 38.11.Z; 38.12.Z; 38.21.Z; 38.22.Z; 38.31.Z; 38.32.Z; 39.00.Z; 41.10.Z; 41.20.Z; 42.11.Z; 42.12.Z; 42.13.Z; 42.21.Z; 42.22.Z; 42.91.Z; 42.99.Z; 43.11.Z; 43.12.Z; 43.13.Z; 43.21.Z; 43.22.Z; 43.29.Z; 43.31.Z; 43.32.Z; 43.33.Z; 43.34.Z; 43.39.Z; 43.91.Z; 43.99.Z; 45.11.Z; 45.19.Z; 45.20.Z; 45.31.Z; 45.32.Z; 45.40.Z; 46.11.Z; 46.12.Z; 46.13.Z; 46.14.Z; 46.15.Z; 46.16.Z; 46.17.Z; 46.18.Z; 46.19.Z; 46.21.Z; 46.22.Z; 46.23.Z; 46.24.Z; 46.31.Z; 46.32.Z; 46.33.Z; 46.34.A; 46.34.B; 46.35.Z; 46.36.Z; 46.37.Z; 46.38.Z; 46.39.Z; 46.41.Z; 46.42.Z; 46.43.Z; 46.44.Z; 46.45.Z; 46.46.Z; 46.47.Z; 46.48.Z; 46.49.Z; 46.51.Z; 46.52.Z; 46.61.Z; 46.62.Z; 46.63.Z; 46.64.Z; 46.65.Z; 46.66.Z; 46.69.Z; 46.71.Z; 46.72.Z; 46.73.Z; 46.74.Z; 46.75.Z; 46.76.Z; 46.77.Z; 46.90.Z; 47.11.Z; 47.19.Z; 47.21.Z; 47.22.Z; 47.23.Z; 47.24.Z; 47.25.Z; 47.26.Z; 47.29.Z; 47.30.Z; 47.41.Z; 47.42.Z; 47.43.Z; 47.51.Z; 47.52.Z; 47.53.Z; 47.54.Z; 47.59.Z; 47.61.Z; 47.62.Z; 47.63.Z; 47.64.Z; 47.65.Z; 47.71.Z; 47.72.Z; 47.73.Z; 47.74.Z; 47.75.Z; 47.76.Z; 47.77.Z; 47.78.Z; 47.79.Z; 47.81.Z; 47.82.Z; 47.89.Z; 47.91.Z; 47.99.Z; 49.10.Z; 49.20.Z; 49.31.Z; 49.32.Z; 49.39.Z; 49.41.Z; 49.42.Z; 49.50.A; 49.50.B; 50.10.Z; 50.20.Z; 50.30.Z; 50.40.Z; 51.10.Z; 51.21.Z; 52.10.A; 52.10.B; 52.21.Z; 52.22.A; 52.22.B; 52.23.Z; 52.24.A; 52.24.B; 52.24.C; 52.29.A; 52.29.B; 52.29.C; 53.20.Z; 55.10.Z; 55.20.Z; 55.30.Z; 55.90.Z; 56.10.A; 56.10.B; 56.21.Z; 56.29.Z; 56.30.Z; 58.11.Z; 58.12.Z; 58.13.Z; 58.14.Z; 58.19.Z; 58.21.Z; 58.29.Z; 59.11.Z; 59.12.Z; 59.13.Z; 59.14.Z; 59.20.Z; 62.02.Z; 62.03.Z; 62.09.Z; 63.11.Z; 63.12.Z; 63.91.Z; 63.99.Z; 68.10.Z; 68.20.Z; 68.31.Z; 68.32.Z; 69.10.Z; 69.20.Z; 70.10.Z; 70.21.Z; 71.11.Z; 71.12.Z; 71.20.A; 71.20.B; 72.11.Z; 72.19.Z; 72.20.Z; 73.11.Z; 73.12.A; 73.12.B; 73.12.C; 73.12.D; 73.20.Z; 74.10.Z; 74.20.Z; 74.30.Z; 74.90.Z; 75.00.Z; 77.11.Z; 77.12.Z; 77.21.Z; 77.22.Z; 77.29.Z; 77.31.Z; 77.32.Z; 77.33.Z; 77.34.Z; 77.35.Z; 77.39.Z; 77.40.Z; 78.10.Z; 78.20.Z; 78.30.Z; 79.11.B; 79.11.A; 79.12.Z; 79.90.A; 79.90.B; 79.90.C; 80.10.Z; 80.20.Z; 80.30.Z; 81.10.Z; 81.21.Z; 81.22.Z; 81.29.Z; 81.30.Z; 82.11.Z; 82.19.Z; 82.20.Z; 82.30.Z; 82.91.Z; 82.92.Z; 82.99.Z; 90.01.Z; 90.02.Z; 90.03.Z; 91.01.B; 93.11.Z; 93.13.Z; 93.19.Z; 93.21.Z; 95.11.Z; 95.12.Z; 95.21.Z; 95.22.Z; 95.23.Z; 95.24.Z; 95.25.Z; 95.29.Z; 96.01.Z; 96.02.Z; 96.03.Z; 96.04.Z; 96.09.Z; 19.10.Z; 19.20.Z; 85.51.Z; 85.52.Z; 85.53.Z; 85.59.A; 85.59.B; 85.60.Z; 15.11.Z; 15.12.Z; 15.20.Z; 16.10.Z; 16.21.Z; 16.22.Z; 16.23.Z; 16.24.Z; 16.29.Z; 17.11.Z; 17.12.Z; 17.21.Z; 17.22.Z; 17.23.Z; 17.24.Z; 17.29.Z; 18.11.Z; 18.12.Z; 18.13.Z; 18.14.Z; 18.20.Z; 20.11.Z; 20.12.Z; 20.13.Z; 20.14.Z; 20.15.Z; 20.16.Z; 20.17.Z; 20.20.Z; 20.30.Z; 20.41.Z; 20.42.Z; 20.52.Z; 20.53.Z; 20.59.Z; 20.60.Z; 22.11.Z; 22.19.Z; 22.21.Z; 22.22.Z; 22.23.Z; 22.29.Z; 23.11.Z; 23.12.Z; 23.13.Z; 23.14.Z; 23.19.Z; 23.20.Z; 23.31.Z; 23.32.Z; 23.41.Z; 23.42.Z; 23.43.Z; 23.44.Z; 23.49.Z; 23.51.Z; 23.52.Z; 23.61.Z; 23.62.Z; 23.63.Z; 23.64.Z; 23.65.Z; 23.70.Z; 23.91.Z; 23.99.Z; 24.10.Z; 24.20.Z; 24.31.Z; 24.32.Z; 24.33.Z; 24.34.Z; 24.41.Z; 24.42.A; 24.42.B; 24.43.Z; 24.44.Z; 24.45.Z; 25.11.Z; 25.12.Z; 25.29.Z; 25.30.Z; 25.50.Z; 25.61.Z; 25.62.Z; 25.71.Z; 25.72.Z; 25.73.Z; 25.91.Z; 25.92.Z; 25.94.Z; 25.99.Z; 26.11.Z; 26.12.Z; 26.20.Z; 26.30.Z; 26.40.Z; 26.51.Z; 26.52.Z; 26.60.Z; 26.70.Z; 26.80.Z; 27.11.Z; 27.12.Z; 27.20.Z; 27.31.Z; 27.32.Z; 27.33.Z; 27.40.Z; 27.51.Z; 27.52.Z; 27.90.Z; 28.11.Z; 28.12.Z; 28.13.Z; 28.14.Z; 28.15.Z; 28.21.Z; 28.22.Z; 28.23.Z; 28.24.Z; 28.25.Z; 28.29.Z; 28.30.Z; 28.41.Z; 28.49.Z; 28.91.Z; 28.92.Z; 28.93.Z; 28.94.Z; 28.95.Z; 28.96.Z; 28.99.Z; 31.01.Z; 31.02.Z; 31.03.Z; 31.09.Z; 32.13.Z; 32.20.Z; 32.30.Z; 32.40.Z; 32.91.Z; 32.99.Z; 32.11.Z; 33.12.Z; 33.14.Z; 33.15.Z; 33.17.Z; 33.19.Z; 33.20.Z; 93.29.B,16.10.Z,pozostałe,16.10.Z: PKD 2007 - Produkcja wyrobów tartacznych,"{'wartosc': '5000,00', 'waluta': 'PLN'}",
363997,"""TOTAL-EXPO"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",5891990075.0,22103396500000.0,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,RejP,01.09.2010,15.01.2026,16.01.2026,ACTIVE,POMORSKIE,,,KARTUZY,,117,,83-328,SIANOWO,,08.11.Z; 08.99.Z; 09.90.Z; 16.10.Z; 25.11.Z; 29.10.E; 29.20.Z; 33.20.Z; 35.11.Z; 36.00.Z; 37.00.Z; 38.11.Z; 38.22.Z; 38.31.Z; 39.00.Z; 41.10.Z; 41.20.Z; 42.11.Z; 42.21.Z; 43.21.Z; 43.22.Z; 43.29.Z; 43.39.Z; 43.99.Z; 45.19.Z; 46.19.Z; 46.39.Z; 46.69.Z; 46.90.Z; 47.11.Z; 47.91.Z; 49.31.Z; 49.32.Z; 49.39.Z; 49.41.Z; 49.42.Z; 52.10.B; 52.29.C; 53.20.Z; 55.10.Z; 55.20.Z; 55.30.Z; 55.90.Z; 56.10.A; 56.21.Z; 56.29.Z; 56.30.Z; 61.20.Z; 62.09.Z; 63.11.Z; 63.12.Z; 63.99.Z; 64.19.Z; 64.91.Z; 64.92.Z; 64.99.Z; 66.19.Z; 66.21.Z; 68.10.Z; 68.20.Z; 68.32.Z; 77.11.Z; 77.12.Z; 78.10.Z; 79.11.A; 79.11.B; 79.12.Z; 79.90.A; 79.90.C; 81.10.Z; 81.30.Z; 82.11.Z; 82.19.Z; 82.30.Z; 82.91.Z; 82.99.Z; 92.00.Z; 93.13.Z; 93.29.B,16.10.Z,pozostałe,16.10.Z: PKD 2007 - Produkcja wyrobów tartacznych,"{'wartosc': '5000,00', 'waluta': 'PLN'}",
547991,MBR TIMBER SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,5552108815.0,36103348000000.0,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,RejP,16.03.2015,26.06.2026,26.06.2026,ACTIVE,POMORSKIE,,,OSIECZNA,UL. CZERSKA,20,,83-242,OSIECZNA,16.11.Z,16.12.Z; 16.23.Z; 16.24.Z; 31.00.Z; 32.99.Z; 46.83.Z,16.11.Z; 16.12.Z,przeważające; pozostałe,16.11.Z: PKD 2025 - Produkcja wyrobów tartacznych; 16.12.Z: PKD 2025 - Obróbka i wykończanie wyrobów tartacznych,"{'wartosc': '500000,00', 'waluta': 'PLN'}",
388176,"""PATI"" DARIUSZ ŁUKASIK, PIOTR SOKOŁOWSKI SPÓŁKA JAWNA",9182156668.0,6077564500000.0,SPÓŁKA JAWNA,RejP,02.06.2011,13.03.2026,13.03.2026,ACTIVE,LUBELSKIE,,,GROMADA,,162,,23-400,BIŁGORAJ,16.10.Z,02.20.Z; 02.40.Z; 16.21.Z; 16.22.Z; 16.23.Z; 16.24.Z; 16.29.Z; 46.73.Z; 47.99.Z,16.10.Z,przeważające,16.10.Z: PKD 2007 - Produkcja wyrobów tartacznych,,
502524,TOP PARKIET SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,7773238291.0,30268411100000.0,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,RejP,19.03.2014,26.03.2021,20.11.2025,ACTIVE,WIELKOPOLSKIE,,,PŁAWNO,,15,1,62-095,MUROWANA GOŚLINA,46.73.Z,16.10.Z; 16.21.Z; 16.22.Z; 16.23.Z; 16.24.Z; 16.29.Z; 46.76.Z; 46.90.Z,16.10.Z,pozostałe,16.10.Z: PKD 2007 - Produkcja wyrobów tartacznych,"{'wartosc': '5000,00', 'waluta': 'PLN'}",
245381,GREEN TIIM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,8862851556.0,2011629900000.0,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,RejP,21.11.2005,08.11.2024,21.11.2025,ACTIVE,DOLNOŚLĄSKIE,,,DZIEĆMOROWICE,ZAGÓRZAŃSKA,2,,58-308,WAŁBRZYCH,,16.29.Z; 01.21.Z; 01.26.Z; 03.22.Z; 81.30.Z; 08.12.Z; 09.90.Z; 10.85.Z; 10.41.Z; 11.01.Z; 20.14.Z; 11.07.Z; 32.99.Z; 16.24.Z; 22.19.Z; 22.22.Z; 25.11.Z; 25.12.Z; 25.29.Z; 25.61.Z; 25.62.Z; 25.91.Z; 25.92.Z; 28.99.Z; 17.12.Z; 17.21.Z; 20.11.Z; 38.21.Z; 20.16.Z; 20.17.Z; 20.41.Z; 20.42.Z; 20.52.Z; 20.53.Z; 38.31.Z; 38.32.Z; 35.11.Z; 35.14.Z; 35.23.Z; 35.30.Z; 36.00.Z; 45.11.Z; 42.11.Z; 45.19.Z; 45.20.Z; 52.21.Z; 45.31.Z; 45.32.Z; 45.40.Z; 47.30.Z; 46.35.Z; 46.41.Z; 46.42.Z; 46.47.Z; 49.42.Z; 52.24.B; 50.40.Z; 52.24.C; 52.10.A; 52.10.B; 52.29.C; 66.11.Z; 38.11.Z; 46.73.Z; 46.71.Z; 46.76.Z; 46.77.Z; 46.52.Z; 47.81.Z; 47.91.Z; 55.20.Z; 56.10.A; 49.41.Z; 38.12.Z; 38.22.Z; 77.11.Z; 77.12.Z; 74.90.Z; 33.14.Z; 33.20.Z; 31.02.Z; 41.20.Z; 42.22.Z; 43.12.Z; 43.21.Z; 43.22.Z; 43.31.Z; 43.32.Z; 43.33.Z; 43.91.Z; 47.82.Z; 47.78.Z; 82.92.Z; 02.10.Z; 02.20.Z; 02.40.Z; 10.91.Z; 16.10.Z; 16.23.Z; 17.29.Z; 20.13.Z; 22.23.Z; 23.61.Z; 28.12.Z; 28.15.Z; 29.20.Z; 33.11.Z; 33.12.Z,16.10.Z,pozostałe,16.10.Z: PKD 2007 - Produkcja wyrobów tartacznych,"{'wartosc': '50000,00', 'waluta': 'PLN'}",
384010,ENERGIA WOOD SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,6131563988.0,2138742200000.0,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,RejP,19.04.2011,29.01.2025,21.11.2025,ACTIVE,LUBUSKIE,,,WAŁOWICE,,69,,66-620,GUBIN,,46.73.Z; 43.39.Z; 16.10.Z; 43.99.Z,16.10.Z,pozostałe,16.10.Z: PKD 2007 - Produkcja wyrobów tartacznych,"{'wartosc': '5000,00', 'waluta': 'PLN'}",
249822,"""ORTRAK"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ W LIKWIDACJI",5372155167.0,3079775900000.0,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,RejP,25.01.2006,01.09.2026,01.09.2026,LIQUIDATION,LUBELSKIE,,,BIAŁA PODLASKA,A. MICKIEWICZA,1-9,26,21-500,BIAŁA PODLASKA,16.10.Z,,16.10.Z,przeważające,16.10.Z: PKD 2007 - Produkcja wyrobów tartacznych,"{'wartosc': '50000,00', 'waluta': 'PLN'}",
354922,DSM POLSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,6762417919.0,12120813200000.0,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,RejP,26.04.2010,09.09.2026,09.09.2026,ACTIVE,MAŁOPOLSKIE,,,KRAKÓW,UL. JANA SAS-ZUBRZYCKIEGO,7,3,30-611,KRAKÓW,16.11.Z,46.90.Z; 43.12.Z; 46.83.Z; 47.40.Z; 47.78.Z; 47.81.Z; 47.82.Z; 49.41.Z; 71.12.B,16.11.Z,przeważające,16.11.Z: PKD 2025 - Produkcja wyrobów tartacznych,"{'wartosc': '50000,00', 'waluta': 'PLN'}",
493697,VIRSA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,5562755396.0,34153135400000.0,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,RejP,10.01.2014,16.01.2026,17.01.2026,ACTIVE,KUJAWSKO-POMORSKIE,,,INOWROCŁAW,KRUSZAŃSKA,7C,,88-100,INOWROCŁAW,,70.22.Z; 35.11.Z; 35.12.Z; 35.13.Z; 35.14.Z; 35.21.Z; 35.22.Z; 35.23.Z; 35.30.Z; 36.00.Z; 37.00.Z; 38.11.Z; 38.12.Z; 38.21.Z; 38.22.Z; 38.31.Z; 38.32.Z; 39.00.Z; 41.10.Z; 41.20.Z; 42.11.Z; 42.12.Z; 42.13.Z; 42.21.Z; 42.22.Z; 42.91.Z; 42.99.Z; 43.11.Z; 43.12.Z; 43.13.Z; 43.21.Z; 43.22.Z; 43.29.Z; 43.31.Z; 43.32.Z; 43.33.Z; 43.34.Z; 43.39.Z; 43.91.Z; 43.99.Z; 45.11.Z; 45.19.Z; 45.20.Z; 45.31.Z; 45.32.Z; 45.40.Z; 46.11.Z; 46.12.Z; 46.13.Z; 46.14.Z; 46.15.Z; 46.16.Z; 46.17.Z; 46.18.Z; 46.19.Z; 46.21.Z; 46.22.Z; 46.23.Z; 46.24.Z; 46.31.Z; 46.32.Z; 46.33.Z; 46.34.A; 46.34.B; 46.35.Z; 46.36.Z; 46.37.Z; 46.38.Z; 46.39.Z; 46.41.Z; 46.42.Z; 46.43.Z; 46.44.Z; 46.45.Z; 46.46.Z; 46.47.Z; 46.48.Z; 46.49.Z; 46.51.Z; 46.52.Z; 46.61.Z; 46.62.Z; 46.63.Z; 46.64.Z; 46.65.Z; 46.66.Z; 46.69.Z; 46.71.Z; 46.72.Z; 46.73.Z; 46.74.Z; 46.75.Z; 46.76.Z; 46.77.Z; 46.90.Z; 47.11.Z; 47.19.Z; 47.21.Z; 47.22.Z; 47.23.Z; 47.24.Z; 47.25.Z; 47.26.Z; 47.29.Z; 47.30.Z; 47.41.Z; 47.42.Z; 47.43.Z; 47.51.Z; 47.52.Z; 47.53.Z; 47.54.Z; 47.59.Z; 47.61.Z; 47.62.Z; 47.63.Z; 47.64.Z; 47.65.Z; 47.71.Z; 47.72.Z; 47.73.Z; 47.74.Z; 47.75.Z; 47.76.Z; 47.77.Z; 47.78.Z; 47.79.Z; 47.81.Z; 47.82.Z; 47.89.Z; 47.91.Z; 47.99.Z; 49.10.Z; 49.20.Z; 49.31.Z; 49.32.Z; 49.39.Z; 49.41.Z; 49.42.Z; 49.50.A; 49.50.B; 50.10.Z; 50.20.Z; 50.30.Z; 50.40.Z; 51.10.Z; 51.21.Z; 52.10.A; 52.10.B; 52.21.Z; 52.22.A; 52.22.B; 52.23.Z; 52.24.A; 52.24.B; 52.24.C; 52.29.A; 52.29.B; 52.29.C; 53.20.Z; 55.10.Z; 55.20.Z; 55.30.Z; 55.90.Z; 56.10.A; 56.10.B; 56.21.Z; 56.29.Z; 56.30.Z; 58.11.Z; 58.12.Z; 58.13.Z; 58.14.Z; 58.19.Z; 58.21.Z; 58.29.Z; 59.11.Z; 59.12.Z; 59.13.Z; 59.14.Z; 59.20.Z; 62.02.Z; 62.03.Z; 62.09.Z; 63.11.Z; 63.12.Z; 63.91.Z; 63.99.Z; 68.10.Z; 68.20.Z; 68.31.Z; 68.32.Z; 69.10.Z; 69.20.Z; 70.10.Z; 70.21.Z; 71.11.Z; 71.12.Z; 71.20.A; 71.20.B; 72.11.Z; 72.19.Z; 72.20.Z; 73.11.Z; 73.12.A; 73.12.B; 73.12.C; 73.12.D; 73.20.Z; 74.10.Z; 74.20.Z; 74.30.Z; 74.90.Z; 75.00.Z; 77.11.Z; 77.12.Z; 77.21.Z; 77.22.Z; 77.29.Z; 77.31.Z; 77.32.Z; 77.33.Z; 77.34.Z; 77.35.Z; 77.39.Z; 77.40.Z; 78.10.Z; 78.20.Z; 78.30.Z; 79.11.B; 79.11.A; 79.12.Z; 79.90.A; 79.90.B; 79.90.C; 80.10.Z; 80.20.Z; 80.30.Z; 81.10.Z; 81.21.Z; 81.22.Z; 81.29.Z; 81.30.Z; 82.11.Z; 82.19.Z; 82.20.Z; 82.30.Z; 82.91.Z; 82.92.Z; 82.99.Z; 90.01.Z; 90.02.Z; 90.03.Z; 91.01.B; 93.11.Z; 93.13.Z; 93.19.Z; 93.21.Z; 95.11.Z; 95.12.Z; 95.21.Z; 95.22.Z; 95.23.Z; 95.24.Z; 95.25.Z; 95.29.Z; 96.01.Z; 96.02.Z; 96.03.Z; 96.04.Z; 96.09.Z; 19.10.Z; 19.20.Z; 85.51.Z; 85.52.Z; 85.53.Z; 85.59.A; 85.59.B; 85.60.Z; 15.11.Z; 15.12.Z; 15.20.Z; 16.10.Z; 16.21.Z; 16.22.Z; 16.23.Z; 16.24.Z; 16.29.Z; 17.11.Z; 17.12.Z; 17.21.Z; 17.22.Z; 17.23.Z; 17.24.Z; 17.29.Z; 18.11.Z; 18.12.Z; 18.13.Z; 18.14.Z; 18.20.Z; 20.11.Z; 20.12.Z; 20.13.Z; 20.14.Z; 20.15.Z; 20.16.Z; 20.17.Z; 20.20.Z; 20.30.Z; 20.41.Z; 20.42.Z; 20.52.Z; 20.53.Z; 20.59.Z; 20.60.Z; 22.11.Z; 22.19.Z; 22.21.Z; 22.22.Z; 22.23.Z; 22.29.Z; 23.11.Z; 23.12.Z; 23.13.Z; 23.14.Z; 23.19.Z; 23.20.Z; 23.31.Z; 23.32.Z; 23.41.Z; 23.42.Z; 23.43.Z; 23.44.Z; 23.49.Z; 23.51.Z; 23.52.Z; 23.61.Z; 23.62.Z; 23.63.Z; 23.64.Z; 23.65.Z; 23.70.Z; 23.91.Z; 23.99.Z; 24.10.Z; 24.20.Z; 24.31.Z; 24.32.Z; 24.33.Z; 24.34.Z; 24.41.Z; 24.42.A; 24.42.B; 24.43.Z; 24.44.Z; 24.45.Z; 25.11.Z; 25.12.Z; 25.29.Z; 25.30.Z; 25.50.Z; 25.61.Z; 25.62.Z; 25.71.Z; 25.72.Z; 25.73.Z; 25.91.Z; 25.92.Z; 25.94.Z; 25.99.Z; 26.11.Z; 26.12.Z; 26.20.Z; 26.30.Z; 26.40.Z; 26.51.Z; 26.52.Z; 26.60.Z; 26.70.Z; 26.80.Z; 27.11.Z; 27.12.Z; 27.20.Z; 27.31.Z; 27.32.Z; 27.33.Z; 27.40.Z; 27.51.Z; 27.52.Z; 27.90.Z; 28.11.Z; 28.12.Z; 28.13.Z; 28.14.Z; 28.15.Z; 28.21.Z; 28.22.Z; 28.23.Z; 28.24.Z; 28.25.Z; 28.29.Z; 28.30.Z; 28.41.Z; 28.49.Z; 28.91.Z; 28.92.Z; 28.93.Z; 28.94.Z; 28.95.Z; 28.96.Z; 28.99.Z; 31.01.Z; 31.02.Z; 31.03.Z; 31.09.Z; 32.13.Z; 32.20.Z; 32.30.Z; 32.40.Z; 32.91.Z; 32.99.Z; 32.11.Z; 33.12.Z; 33.14.Z; 33.15.Z; 33.17.Z; 33.19.Z; 33.20.Z; 93.29.B,16.10.Z,pozostałe,16.10.Z: PKD 2007 - Produkcja wyrobów tartacznych,"{'wartosc': '5000,00', 'waluta': 'PLN'}",
579206,DAMAX SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,9282082490.0,36266619300000.0,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,RejP,05.10.2015,15.09.2026,15.09.2026,ACTIVE,LUBUSKIE,,,TUPLICE,UL. 9 MAJA,5,7,68-219,TUPLICE,49.41.Z,16.10.Z; 52.21.Z; 82.11.Z; 46.73.Z; 47.76.Z,16.10.Z,pozostałe,16.10.Z: PKD 2007 - Produkcja wyrobów tartacznych,"{'wartosc': '15000,00', 'waluta': 'PLN'}",
255102,OLHAD SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,7393546460.0,28011098700000.0,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,RejP,13.04.2006,14.07.2026,14.07.2026,ACTIVE,WARMIŃSKO-MAZURSKIE,,,KLEWKI,UL. SPACEROWA,9,,10-687,OLSZTYN,68.10.Z,16.10.Z; 41.10.Z; 41.20.Z; 42.91.Z; 43.12.Z; 43.39.Z; 43.91.Z; 45.11.Z; 68.10.Z,16.10.Z,pozostałe,16.10.Z: PKD 2007 - Produkcja wyrobów tartacznych,"{'wartosc': '103000,00', 'waluta': 'PLN'}",
536647,"""DREW-GÓR DRZWI"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",7441811464.0,36047699100000.0,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,RejP,02.01.2015,17.09.2026,18.09.2026,ACTIVE,WARMIŃSKO-MAZURSKIE,,,KARAŚ,,46,,14-200,IŁAWA,16.10.Z,16.23.Z; 16.29.Z; 43.32.Z; 46.73.Z; 68.20.Z; 77.12.Z; 77.39.Z,16.10.Z,przeważające,16.10.Z: PKD 2007 - Produkcja wyrobów tartacznych,"{'wartosc': '3495000,00', 'waluta': 'PLN'}",
463990,"""DOMKI-EKO"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",6222783106.0,30239375000000.0,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,RejP,29.05.2013,20.04.2026,20.04.2026,ACTIVE,WIELKOPOLSKIE,,,OSTRÓW WIELKOPOLSKI,NOWA,8,,63-400,OSTRÓW WIELKOPOLSKI,41.20.Z,43.12.Z; 43.31.Z; 43.32.Z; 43.39.Z; 43.91.Z; 46.73.Z; 16.10.Z; 16.23.Z; 41.10.Z,16.10.Z,pozostałe,16.10.Z: PKD 2007 - Produkcja wyrobów tartacznych,"{'wartosc': '40000,00', 'waluta': 'PLN'}",
309518,ZPD ARBOR SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,6090040264.0,26022464300000.0,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,RejP,07.07.2008,09.07.2026,09.07.2026,ACTIVE,ŚWIĘTOKRZYSKIE,,,WŁOSZCZOWA,JĘDRZEJOWSKA,79D,,29-100,WŁOSZCZOWA,47.52.Z,46.73.Z; 43.32.Z; 16.10.Z; 16.23.Z; 49.41.Z; 68.20.Z; 47.59.Z; 64.92.Z; 66.19.Z,16.10.Z,pozostałe,16.10.Z: PKD 2007 - Produkcja wyrobów tartacznych,"{'wartosc': '4591200,00', 'waluta': 'PLN'}",
595837,BERESTEN SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,7952535284.0,36345700800000.0,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,RejP,11.01.2016,20.06.2024,04.12.2025,ACTIVE,PODKARPACKIE,,,DUŃKOWICZKI,,172,,37-716,ORŁY,46.73.Z,49.41.Z; 46.71.Z; 47.78.Z; 47.99.Z; 41.10.Z; 41.20.Z; 43.11.Z; 52.10.B; 16.10.Z,16.10.Z,pozostałe,16.10.Z: PKD 2007 - Produkcja wyrobów tartacznych,"{'wartosc': '5000,00', 'waluta': 'PLN'}",
236617,PDS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,7792263924.0,30006621900000.0,SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,RejP,27.06.2005,18.07.2025,21.11.2025,ACTIVE,WIELKOPOLSKIE,,,OWIŃSKA,BYDGOSKA,16,,62-005,CZERWONAK,68.20.Z,16.10.Z; 46.73.Z; 68.10.Z; 69.20.Z; 68.31.Z; 68.32.Z; 77.39.Z,16.10.Z,pozostałe,16.10.Z: PKD 2007 - Produkcja wyrobów tartacznych,"{'wartosc': '50000,00', 'waluta': 'PLN'}",
